,MouseID,DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,Bcatenin_N,SOD1_N,MTOR_N,P38_N,pMTOR_N,DSCR1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_N,pPKCG_N,CDK5_N,S6_N,ADARB1_N,AcetylH3K9_N,RRP1_N,BAX_N,ARC_N,ERBB4_N,nNOS_N,Tau_N,GFAP_N,GluR3_N,GluR4_N,IL1B_N,P3525_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,BAD_N,BCL2_N,pS6_N,pCFOS_N,SYP_N,H3AcK18_N,EGR1_N,H3MeK4_N,CaNA_N,Genotype,Treatment,Behavior,class
0,103,0.422991643,0.573767696,0.363295241,2.321848883,3.5630223439999997,0.27033941699999997,0.20689067,5.645062255,0.23793279899999997,1.41071124,0.448746376,0.35869009,0.42230939799999995,0.30718062399999996,0.797885042,0.800443459,1.599010745,2.064983797,0.544090056,0.721473648,0.338222753,0.418898175,0.202456081,1.083063278,2.582807436,1.173119563,0.260105748,0.340098925,0.721303087,0.195463074,0.480982432,2.355790551,0.6351697079999999,0.494627324,0.443288419,0.810677128,0.617772471,0.364489169,0.582636875,0.38069247799999995,0.345898004,0.473307181,0.46256182799999995,0.161879631,0.879529077,0.180858622,2.465543489,0.289252004,0.278595352,1.131939511,0.196691363,0.185425759,0.17497209,0.12128285800000001,0.145945397,0.1723333,0.20491220899999998,0.12392164800000001,0.17862579899999997,0.11103217300000001,0.413681112,0.281843093,1.630163402,1.995026895,0.148482696,1.471125546,0.942961535,0.23617172399999997,0.184207855,0.143103623,0.12128285800000001,0.149091647,0.44473764299999996,0.15061402599999998,0.182076525,0.223079265,1.2090733790000001,1,1,1,7
1,186,0.256675521,0.428771145,0.254298896,1.9247868030000002,2.867328394,0.183559346,0.146651755,1.8406263109999998,0.160492101,0.9039563820000001,0.473507619,0.269677059,0.294701524,0.199636516,0.6932755490000001,0.655249546,1.291625891,1.9727387109999999,0.39801481899999996,0.551936251,0.252201873,0.291765693,0.145952747,0.875297078,2.037187194,1.054382776,0.21809031199999998,0.223822173,0.546344191,0.125401929,0.292604502,1.557108905,0.24213616699999999,0.34978330799999996,0.313854327,0.607717042,0.44736474200000004,0.281560185,0.46162449299999997,0.282259192,0.23542569600000002,0.313155319,0.174332448,0.194593975,0.972626274,0.17867369100000002,2.1433970909999998,0.359179934,0.396518154,0.9186805640000001,0.076623525,0.164471424,0.192761425,0.108807697,0.14626045099999999,0.178559157,0.150269156,0.116137899,0.28759592300000003,0.165731302,0.49753751,0.286336044,1.816974001,2.232733937,0.142824419,1.130798305,0.922116596,0.21841713399999999,0.173061505,0.155995877,0.108807697,0.13698316300000002,0.46512427,0.16733478400000001,0.212690413,0.21727179,1.903447486,0,1,0,1
2,24,0.34144991700000005,0.47232982799999995,0.321250692,2.0110680690000002,3.499723298,0.270060874,0.204205866,3.3649695630000003,0.18456004399999998,1.215273935,0.49252905399999997,0.346153846,0.31239623699999997,0.259822911,0.748201439,0.727725512,1.4825677919999998,1.10486995,0.405921417,0.659103486,0.340066408,0.41615938,0.180962922,0.895960155,2.288046486,0.97426674,0.259822911,0.27255119,0.6474820139999999,0.178195905,0.441615938,1.642778085,0.355838406,0.562534588,0.534864416,0.822080797,0.721084671,0.44936358600000004,0.646651909,0.497786386,0.379911455,0.456834532,0.307138904,0.151748124,0.859051803,0.163646348,0.8843126490000001,0.31118433100000004,0.300750503,0.990298371,0.082372323,0.185246202,0.147904082,0.13911770099999998,0.175178473,0.17755811800000001,0.152663372,0.14935000475,0.26212703600000004,0.136371957,0.638843126,0.360973824,1.501372872,2.017755812,0.202269815,1.308804686,0.807065715,0.258282995,0.16077332818285714,0.18703444775,0.13911770099999998,0.164195497,0.5189456339999999,0.17767165651086958,0.18525076936363638,0.20811596784146338,1.374519495,0,0,0,0
3,7,0.27260034899999996,0.5359511339999999,0.302443281,2.3783595109999998,3.683769634,0.259162304,0.208376963,4.00069808,0.24205933699999999,1.2813263529999999,0.312914485,0.329319372,0.319022688,0.289354276,0.889179756,0.871204188,1.614136126,0.972949389,0.46858638700000005,0.708202443,0.270157068,0.37382199,0.193717277,1.215008726,2.42582897,1.02600349,0.236998255,0.267713787,0.6979057590000001,0.19406631800000002,0.40104712,2.256719023,1.07521815,0.39476439799999996,0.361954625,0.7698080279999999,0.588132635,0.346247818,0.533158813,0.328097731,0.32513089,0.416753927,0.36910994799999997,0.17526351199999998,0.9616505940000001,0.163377439,1.57625028,0.259699484,0.501457726,1.177954698,0.55388785775,0.16584436,0.177394035,0.125588697,0.181206549,0.195335277,0.370811714,0.124355237,0.20060551699999998,0.118972864,0.608432384,0.268333707,1.7422067730000002,2.382036331,0.153621888,1.323278762,0.750840996,0.200044853,0.139156762,0.11729087199999999,0.125588697,0.11325409300000001,0.473536667,0.29702379050000005,0.155752411,0.278089258,1.270127831,1,0,1,6
4,114,0.288176638,0.454273504,0.266096866,2.0092592590000002,3.161823362,0.187606838,0.143874644,3.0763532760000003,0.164957265,0.99017094,0.36709401700000005,0.264245014,0.311538462,0.212393162,0.738888889,0.5133903129999999,1.267378917,1.776068376,0.44800569799999995,0.515954416,0.23903133899999998,0.28162393199999997,0.135185185,0.996581197,2.123789174,1.109116809,0.202136752,0.1997151,0.587464387,0.132336182,0.333190883,1.835185185,0.264814815,0.39843304799999996,0.409401709,0.623504274,0.478632479,0.289458689,0.49586894600000003,0.31994302,0.24629629600000003,0.32706552699999997,0.489031339,0.168195719,0.846937975,0.140672783,2.464674978,0.260644554,0.526307535,0.890378734,0.273190622,0.13784991800000002,0.160589665,0.091821532,0.143887713,0.168352544,0.17148906100000003,0.10240727699999999,0.23900258800000002,0.111660002,0.519015134,0.301654513,1.448913981,2.131106406,0.12577432800000002,1.0265819809999999,0.8560338740000001,0.22410413199999998,0.14553438400000002,0.101387909,0.091821532,0.104759664,0.396690975,0.162471575,0.14177056400000002,0.15643378,1.593664236,0,0,0,0
5,25,0.359692368,0.500887399,0.30349043600000003,2.069808716,4.102346677,0.231315322,0.182015382,3.6813251819999997,0.18339578,1.175507789,0.545848945,0.337803195,0.289489253,0.257345691,0.7783474659999999,0.761782686,1.548806941,1.078682706,0.375665549,0.6829027809999999,0.303293236,0.38315914,0.16880299699999998,0.989745612,2.68329718,1.012817985,0.24728850300000002,0.256162493,0.670676395,0.15795701,0.38118714299999995,1.8453953859999999,0.318674818,0.48451981899999996,0.39518832600000003,0.751331098,0.6267008479999999,0.370143956,0.588641294,0.464602642,0.323802011,0.403667916,0.188917373,0.18668058899999998,0.954751131,0.153382063,0.828170321,0.317438218,0.370808679,1.20025525,0.09270217,0.15987933599999998,0.17403411100000002,0.133658197,0.155586495,0.169161156,0.201879568,0.12205592300000001,0.245156051,0.14015547,0.6374289360000001,0.310592876,1.730363151,2.274277758,0.169857292,1.334725606,0.7975403179999999,0.22856479899999999,0.16077332818285714,0.147232858,0.133658197,0.132730015,0.479521986,0.17767165651086958,0.18525076936363638,0.20811596784146338,1.6262907530000001,0,0,0,0
6,202,0.6116988179999999,0.926926838,0.383856343,2.578540315,4.336474353,0.20339585699999999,0.16454796,2.8708329630000002,0.23353186899999998,1.6412125519999998,0.6890390259999999,0.307049516,0.331496133,0.267223753,0.884256378,0.732242866,1.708774113,1.972975376,0.39301271200000004,0.750288915,0.40688061200000003,0.332562894,0.161614366,1.8407858480000001,3.650902302,1.4989776869999998,0.249177705,0.319583963,0.864521291,0.153613655,0.54627078,2.6382789580000003,0.351853498,0.421637479,0.30278247,0.7519779540000001,0.568406081,0.371944173,0.680682727,0.359676416,0.26260112,0.43666103700000003,0.20659614199999998,0.249289575,1.15490054,0.18894522800000002,2.264222433,0.361007411,0.680057948,1.906335321,0.351646515,0.154343344,0.21050872,0.113556583,0.17406808899999998,0.154343344,0.26907004,0.122025965,0.227113167,0.132724132,0.507104251,0.316821753,1.584331643,2.404245835,0.13885329,1.189390985,0.961664902,0.225664456,0.137348861,0.10909901400000001,0.113556583,0.117345517,0.554800245,0.182035995,0.148214186,0.17830278,1.8221986959999998,1,1,0,5
7,29,0.179262795,0.321797932,0.221028905,1.880933439,3.3843808010000003,0.194643331,0.140015911,4.325908247,0.15924158,0.917130735,0.26862901100000003,0.280827367,0.245160435,0.21957040600000002,0.750066295,0.8719172629999999,1.3695306280000001,0.996287457,0.406921241,0.608724476,0.158313445,0.25735879100000003,0.131662689,0.9368867670000001,1.8797401219999998,0.8476531420000001,0.180853885,0.19928401,0.494828958,0.11575179,0.282816229,1.772341554,0.553699284,0.362635906,0.39976133700000005,0.718774861,0.47440997100000004,0.31782020699999997,0.466984885,0.265844604,0.26465128600000004,0.330416335,0.277114824,0.156263794,1.080515582,0.130749537,1.241458462,0.24340072399999998,0.28259909899999996,1.0448485920000001,0.11212148,0.142403108,0.167211089,0.12200935800000001,0.15317383199999998,0.186368853,0.14416879999999999,0.096141962,0.254789441,0.112033195,0.586827933,0.249845502,1.9660104180000002,2.182042906,0.13013154400000002,1.26105765,0.7867926190000001,0.211706542,0.14452193900000002,0.127924428,0.12200935800000001,0.12086165800000001,0.376269092,0.118301404,0.167299373,0.156263794,0.9511786,0,0,1,2
8,21,0.45799236200000004,0.703491544,0.385842881,2.904391708,6.318466994,0.21685761,0.160665576,2.652073104,0.19708128800000002,1.8101473000000001,0.711811238,0.334969995,0.34342607700000005,0.262956901,1.0582378609999998,0.8348336059999999,2.032051282,1.8682487730000001,0.39388979799999996,0.89893617,0.371658483,0.40248227,0.180714675,1.7217675940000001,3.8587015819999997,1.4170758319999999,0.267321331,0.28805237300000003,0.856110202,0.153436989,0.41312056700000005,2.539416258,0.348199673,0.539689034,0.42403164200000004,0.8316966720000001,0.73690671,0.502318603,0.7304964540000001,0.507092199,0.37084015299999995,0.489907256,0.180714675,0.22891292800000002,1.229820713,0.183145472,0.935244724,0.36273545700000004,0.514411075,2.0708569967500003,0.103411756,0.191239882,0.214917921,0.154020728,0.19532594274999998,0.21461532600000002,0.27498297899999996,0.128375823,0.20425145600000003,0.13813450300000002,0.558438611,0.329525683,1.6791739159999999,2.463348211,0.185490582,1.227929495,0.905060897,0.23435963399999998,0.16077332818285714,0.164687193,0.154020728,0.13376976011499997,0.573795295,0.137983206,0.20803389100000003,0.20811596784146338,1.68242681,0,0,0,0
9,119,0.316243929,0.615488397,0.364004317,2.565569347,3.677280086,0.328116568,0.231786292,4.508904479,0.257960065,1.4813815430000001,0.349163519,0.37425796,0.329735564,0.352671344,0.966270912,0.801942795,1.856718834,1.34430653,0.47004857,0.973556395,0.322989746,0.5004581915,0.234754452,1.258229897,2.483810038,1.156233135,0.292498651,0.38289260700000005,0.80733945,0.22045331899999998,0.49838100399999996,2.164867782,0.8726389640000001,0.49730167299999994,0.466810577,0.886670264,0.768213708,0.40124123,0.75849973,0.41797085799999995,0.35941716100000004,0.463842418,0.360226659,0.17831149899999998,0.7596433770000001,0.155385735,1.4887190680000002,0.28293304199999997,0.5405749639999999,1.203056769,0.32914847199999997,0.19286754,0.182678311,0.138828239,0.19377729300000002,0.21069869,0.27820232899999997,0.136826783,0.193595342,0.123726346,0.7109371022500001,0.340975255,1.7583697230000002,2.325327511,0.20560407600000002,1.4312227069999999,0.9683406109999999,0.2879267320000001,0.21999360574999993,0.18703444775,0.138828239,0.17176128100000002,0.512918486,0.279839884,0.24832569424999992,0.2884949819999999,1.1612081509999999,1,0,1,6
